County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Aasco Municipio,PR,00610,Anasco,26.77,23.55,scattered clouds,26.02,1637404678,1637445053,-67.14,18.28
Abbeville ,SC,29620,Abbeville,7.47,3.32,overcast clouds,2.19,1637410053,1637446993,-82.3785,34.1819
Acadia Parish,LA,70516,Branch,18.32,14.06,clear sky,15.74,1637411983,1637449848,-92.3459,30.3446
Accomack ,VA,23301,Accomac,7.93,2.97,overcast clouds,4.33,1637408913,1637444918,-75.6803,37.7159
Ada ,ID,83616,Eagle,6.29,2.65,clear sky,3.59,1637419602,1637453759,-116.362,43.7069
Adair ,IA,50002,Adair,8.41,3.12,overcast clouds,3.68,1637414028,1637448907,-94.6444,41.5137
Adair ,KY,42728,Columbia,10.13,6.61,overcast clouds,6.19,1637411132,1637447300,-85.2656,37.1161
Adair ,MO,63501,Kirksville,10.65,6.43,scattered clouds,8.56,1637413330,1637448616,-92.5856,40.1908
Adair ,OK,74931,Bunch,14.85,11.05,overcast clouds,12.71,1637413220,1637449770,-94.7611,35.6826
Adams ,CO,80019,Aurora,7.42,2.1,overcast clouds,4.81,1637416178,1637451587,-104.7069,39.7656
Adams ,IA,50839,Carbon,9.08,2.71,overcast clouds,3.24,1637413998,1637449022,-94.8231,41.0487
Adams ,ID,83612,Council,3.62,2.6,clear sky,2.83,1637419806,1637453598,-116.4518,44.7628
Adams ,IL,62301,Quincy,12.23,10.01,overcast clouds,9.57,1637413001,1637448365,-91.3763,39.9307
Adams ,IN,46711,Berne,4.96,1.64,overcast clouds,0.35,1637411565,1637446708,-84.9343,40.6716
Adams ,MS,39120,Natchez,13.3,11.88,clear sky,12.38,1637411889,1637449471,-91.3642,31.5492
Adams ,ND,58639,Hettinger,-0.69,-1.15,clear sky,-1.15,1637416758,1637450085,-102.7851,46.0578
Adams ,NE,68901,Hastings,9.88,7.55,overcast clouds,6.58,1637414785,1637449949,-98.3911,40.5877
Adams ,OH,45616,Blue Creek,9.68,6.72,overcast clouds,8.07,1637410900,1637446603,-83.3302,38.7776
Adams ,PA,17301,Abbottstown,4.58,-0.27,clear sky,2.1,1637409540,1637444921,-76.9931,39.8881
Adams ,WA,99105,Benge,4.1,0.47,overcast clouds,2.78,1637420603,1637453622,-118.1611,46.8591
