County,State,Commodity,Value
Abbeville,SC,CORN,579.0
Abbeville,SC,COTTON,4.0
Abbeville,SC,"FIELD CROPS, OTHER",825137.0
Abbeville,SC,GRAIN,10021.0
Abbeville,SC,HAY,31587.0
Abbeville,SC,HAY & HAYLAGE,33232.0
Abbeville,SC,HAYLAGE,6254.0
Abbeville,SC,OATS,4.0
Abbeville,SC,PEAS,2.0
Abbeville,SC,RYE,1.0
Abbeville,SC,SOYBEANS,48289.0
Abbeville,SC,SUNFLOWER,9.0
Abbeville,SC,WHEAT,73080.0
Acadia,LA,"FIELD CROPS, OTHER",5362113.0
Acadia,LA,GRAIN,74644178.0
Acadia,LA,HAY,44434.0
Acadia,LA,HAY & HAYLAGE,23151.0
Acadia,LA,HAYLAGE,2462.0
Acadia,LA,RICE,68584457.0
Acadia,LA,SOYBEANS,1267893.0
Acadia,LA,SUGARCANE,189160.0
Acadia,LA,WHEAT,4.0
Accomack,VA,BARLEY,29205.0
Accomack,VA,CORN,16456875.0
Accomack,VA,COTTON,3.0
Accomack,VA,"FIELD CROPS, OTHER",72015.0
Accomack,VA,GRAIN,28451070.0
Accomack,VA,HAY,3018.0
Accomack,VA,HAY & HAYLAGE,1589.0
Accomack,VA,HAYLAGE,90.0
Accomack,VA,MINT,1.0
Accomack,VA,RAPESEED,2.0
Accomack,VA,RYE,1.0
Accomack,VA,SORGHUM,577360.0
Accomack,VA,SOYBEANS,13732665.0
Accomack,VA,WHEAT,3377715.0
Ada,ID,BARLEY,72126.0
Ada,ID,BEANS,19605.0
Ada,ID,CHICKPEAS,2.0
Ada,ID,CORN,11066146.0
Ada,ID,"FIELD CROPS, OTHER",16013471.0
Ada,ID,GRAIN,15004109.0
Ada,ID,GRASSES,8.0
Ada,ID,GRASSES & LEGUMES TOTALS,725.0
Ada,ID,"GRASSES & LEGUMES, OTHER",6.0
Ada,ID,HAY,232476.0
Ada,ID,HAY & HAYLAGE,160789.0
Ada,ID,HAYLAGE,183656.0
Ada,ID,LEGUMES,105222.0
Ada,ID,MINT,464036.0
Ada,ID,MUSTARD,79944.0
Ada,ID,OATS,3.0
Ada,ID,SORGHUM,4.0
Ada,ID,SOYBEANS,3.0
Ada,ID,SUGARBEETS,64656.0
Ada,ID,TRITICALE,4.0
Ada,ID,WHEAT,5405254.0
Adair,IA,CORN,67818953.0
Adair,IA,"FIELD CROPS, OTHER",2459186.0
Adair,IA,GRAIN,100492455.0
Adair,IA,HAY,176660.0
Adair,IA,HAY & HAYLAGE,90909.0
Adair,IA,HAYLAGE,8608.0
Adair,IA,OATS,26112.0
Adair,IA,RYE,1.0
Adair,IA,SORGHUM,3.0
Adair,IA,SOYBEANS,53842101.0
Adair,IA,WHEAT,8.0
Adair,KY,CORN,1029541.0
Adair,KY,"FIELD CROPS, OTHER",3242453.0
Adair,KY,GRAIN,11237121.0
Adair,KY,HAY,235505.0
Adair,KY,HAY & HAYLAGE,124628.0
Adair,KY,HAYLAGE,21908.0
Adair,KY,OATS,4.0
Adair,KY,SOYBEANS,7646315.0
Adair,KY,TOBACCO,5205753.0
Adair,KY,WHEAT,20.0
Adair,MO,BARLEY,6.0
Adair,MO,CORN,12937089.0
Adair,MO,"FIELD CROPS, OTHER",3952314.0
Adair,MO,GRAIN,30174209.0
Adair,MO,HAY,277883.0
Adair,MO,HAY & HAYLAGE,146105.0
Adair,MO,HAYLAGE,23020.0
Adair,MO,OATS,7732.0
Adair,MO,SORGHUM,3.0
Adair,MO,SOYBEANS,22052755.0
Adair,MO,WHEAT,495106.0
Adair,OK,CORN,2.0
Adair,OK,"FIELD CROPS, OTHER",2953282.0
Adair,OK,GRAIN,53004.0
Adair,OK,HAY,259094.0
Adair,OK,HAY & HAYLAGE,133494.0
Adair,OK,HAYLAGE,5867.0
Adair,OK,SORGHUM,4.0
Adair,OK,SOYBEANS,34362.0
Adair,OK,WHEAT,8376.0
Adams,CO,BARLEY,4.0
Adams,CO,BEANS,22622.0
Adams,CO,CORN,16642705.0
Adams,CO,"FIELD CROPS, OTHER",3911156.0
Adams,CO,GRAIN,47061227.0
Adams,CO,HAY,83601.0
Adams,CO,HAY & HAYLAGE,47220.0
Adams,CO,HAYLAGE,8151.0
Adams,CO,HERBS,1212.0
Adams,CO,MILLET,471203.0
Adams,CO,SORGHUM,1103325.0
Adams,CO,SOYBEANS,41439.0
Adams,CO,SUGARBEETS,29063.0
Adams,CO,SUNFLOWER,12442990.0
Adams,CO,TRITICALE,1.0
Adams,CO,WHEAT,43588710.0
Adams,ID,CORN,12.0
Adams,ID,"FIELD CROPS, OTHER",3034100.0
Adams,ID,GRAIN,120004.0
Adams,ID,HAY,121429.0
Adams,ID,HAY & HAYLAGE,62636.0
Adams,ID,HAYLAGE,3053.0
Adams,ID,WHEAT,8.0
Adams,IL,CORN,141708728.0
Adams,IL,"FIELD CROPS, OTHER",2526274.0
Adams,IL,GRAIN,192757832.0
Adams,IL,HAY,126137.0
Adams,IL,HAY & HAYLAGE,74319.0
Adams,IL,HAYLAGE,39950.0
Adams,IL,OATS,16286.0
Adams,IL,SORGHUM,31660.0
Adams,IL,SOYBEANS,90673517.0
Adams,IL,WHEAT,2142592.0
Adams,IN,CORN,53910338.0
Adams,IN,EMMER & SPELT,615.0
Adams,IN,"FIELD CROPS, OTHER",2600364.0
Adams,IN,GRAIN,94362892.0
Adams,IN,HAY,65148.0
Adams,IN,HAY & HAYLAGE,38957.0
Adams,IN,HAYLAGE,20900.0
Adams,IN,OATS,22468.0
Adams,IN,POPCORN,2355009.0
Adams,IN,SORGHUM,547.0
Adams,IN,SOYBEANS,54524223.0
Adams,IN,SUNFLOWER,3.0
Adams,IN,WHEAT,2900342.0
Adams,IA,CORN,44133785.0
Adams,IA,"FIELD CROPS, OTHER",1309146.0
Adams,IA,GRAIN,62865262.0
Adams,IA,HAY,110636.0
Adams,IA,HAY & HAYLAGE,56964.0
Adams,IA,HAYLAGE,2447.0
Adams,IA,OATS,19994.0
Adams,IA,RYE,1.0
Adams,IA,SOYBEANS,32410728.0
Adams,MS,CORN,272926.0
Adams,MS,COTTON,1499458.0
Adams,MS,"FIELD CROPS, OTHER",247014.0
Adams,MS,GRAIN,4038008.0
Adams,MS,HAY,13546.0
Adams,MS,HAY & HAYLAGE,6802.0
Adams,MS,SOYBEANS,3180195.0
Adams,MS,WHEAT,8.0
Adams,NE,CHICKPEAS,2.0
Adams,NE,CORN,148844875.0
Adams,NE,"FIELD CROPS, OTHER",612072.0
Adams,NE,GRAIN,177342393.0
Adams,NE,HAY,43791.0
Adams,NE,HAY & HAYLAGE,24040.0
Adams,NE,HAYLAGE,3132.0
Adams,NE,OATS,3.0
Adams,NE,PEAS,24794.0
Adams,NE,POPCORN,24785496.0
Adams,NE,RYE,1.0
Adams,NE,SORGHUM,138164.0
Adams,NE,SOYBEANS,59654991.0
Adams,NE,WHEAT,1125690.0
Adams,ND,BARLEY,467468.0
Adams,ND,CANOLA,16727877.0
Adams,ND,CHICKPEAS,2630.0
Adams,ND,CORN,11707919.0
Adams,ND,"FIELD CROPS, OTHER",2564118.0
Adams,ND,FLAXSEED,35047.0
Adams,ND,GRAIN,35535180.0
Adams,ND,HAY,294081.0
Adams,ND,HAY & HAYLAGE,151427.0
Adams,ND,HAYLAGE,13934.0
Adams,ND,OATS,6080.0
Adams,ND,PEAS,52275.0
Adams,ND,SOYBEANS,872007.0
Adams,ND,SUNFLOWER,48356513.0
Adams,ND,WHEAT,13500415.0
Adams,OH,CORN,7729571.0
Adams,OH,EMMER & SPELT,1731.0
Adams,OH,"FIELD CROPS, OTHER",2774516.0
Adams,OH,GRAIN,19288331.0
Adams,OH,HAY,173242.0
Adams,OH,HAY & HAYLAGE,96590.0
Adams,OH,HAYLAGE,31161.0
Adams,OH,MAPLE SYRUP,2471.0
Adams,OH,OATS,4.0
Adams,OH,SORGHUM,4.0
Adams,OH,SOYBEANS,14479033.0
Adams,OH,TOBACCO,2796354.0
Adams,OH,WHEAT,501869.0
Adams,PA,BARLEY,314109.0
Adams,PA,CORN,18243834.0
Adams,PA,EMMER & SPELT,1.0
Adams,PA,"FIELD CROPS, OTHER",8254431.0
Adams,PA,GRAIN,30554430.0
Adams,PA,GRASSES,1.0
Adams,PA,GRASSES & LEGUMES TOTALS,1.0
Adams,PA,HAY,193231.0
Adams,PA,HAY & HAYLAGE,130009.0
Adams,PA,HAYLAGE,120770.0
Adams,PA,OATS,8194.0
Adams,PA,RYE,9785.0
Adams,PA,SORGHUM,504026.0
Adams,PA,SOYBEANS,14115029.0
Adams,PA,SUNFLOWER,6.0
Adams,PA,WHEAT,3675949.0
Adams,WA,BEANS,151671.0
Adams,WA,BUCKWHEAT,732.0
Adams,WA,CAMELINA,1.0
Adams,WA,CANOLA,9602782.0
Adams,WA,CHICKPEAS,44125.0
Adams,WA,CORN,8163990.0
Adams,WA,EMMER & SPELT,3.0
Adams,WA,"FIELD CROPS, OTHER",790.0
Adams,WA,GRAIN,106965289.0
Adams,WA,GRASSES,7724040.0
Adams,WA,GRASSES & LEGUMES TOTALS,19020.0
Adams,WA,"GRASSES & LEGUMES, OTHER",3333340.0
Adams,WA,HAY,272707.0
Adams,WA,HAY & HAYLAGE,166733.0
Adams,WA,HAYLAGE,21650.0
Adams,WA,MINT,337176.0
Adams,WA,OATS,5.0
Adams,WA,PEAS,117931.0
Adams,WA,RYE,1.0
Adams,WA,SUGARBEETS,10.0
Adams,WA,SUNFLOWER,493502.0
Adams,WA,TRITICALE,42060.0
Adams,WA,WHEAT,109873767.0
Adams,WI,BARLEY,3.0
Adams,WI,BEANS,3.0
Adams,WI,CORN,13563495.0
Adams,WI,"FIELD CROPS, OTHER",1515102.0
Adams,WI,GRAIN,15552136.0
Adams,WI,HAY,60287.0
Adams,WI,HAY & HAYLAGE,50512.0
