County,State,Commodity,Value,Lon,Lat,Max_temp,Min_temp
Abbeville,SC,Apples,3.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Berry totals,85054.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Blueberries,84.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Chestnuts,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Fruit & tree nut totals,159021.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Hazelnuts,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Non-citrus totals,3.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Orchards,66.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Pears,6.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Pecans,114.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Strawberries,4.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Tree nut totals,16.0,-82.3785,34.1819,7.51,3.21
Accomack,VA,Apples,6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,"Berries, other",6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Berry totals,21.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Blueberries,20.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Chestnuts,6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Elderberries,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Figs,6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Fruit & tree nut totals,195016.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Grapes,2.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Non-citrus totals,67.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,"Non-citrus, other",6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Orchards,43.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Peaches,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Pears,29.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Pecans,22.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Pomegranates,6.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Tree nut totals,14.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Walnuts,4.0,-75.6803,37.7159,3.93,0.0
Ada,ID,Apples,101.0,-116.362,43.7069,6.18,2.09
Ada,ID,Apricots,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Berry totals,52058.0,-116.362,43.7069,6.18,2.09
Ada,ID,Blackberries,16.0,-116.362,43.7069,6.18,2.09
Ada,ID,Blueberries,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Cherries,15.0,-116.362,43.7069,6.18,2.09
Ada,ID,Elderberries,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Fruit & tree nut totals,676065.0,-116.362,43.7069,6.18,2.09
Ada,ID,Grapes,176.0,-116.362,43.7069,6.18,2.09
Ada,ID,Hazelnuts,10.0,-116.362,43.7069,6.18,2.09
Ada,ID,Nectarines,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Non-citrus totals,306.0,-116.362,43.7069,6.18,2.09
Ada,ID,Orchards,329.0,-116.362,43.7069,6.18,2.09
Ada,ID,Peaches,39.0,-116.362,43.7069,6.18,2.09
Ada,ID,Pears,43.0,-116.362,43.7069,6.18,2.09
Ada,ID,Pecans,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Plum-apricot hybrids,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Plums,24.0,-116.362,43.7069,6.18,2.09
Ada,ID,Plums & prunes,29.0,-116.362,43.7069,6.18,2.09
Ada,ID,Prunes,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Raspberries,67.0,-116.362,43.7069,6.18,2.09
Ada,ID,Strawberries,26.0,-116.362,43.7069,6.18,2.09
Ada,ID,Tree nut totals,27.0,-116.362,43.7069,6.18,2.09
Ada,ID,Walnuts,16.0,-116.362,43.7069,6.18,2.09
Adair,IA,Apples,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Aronia berries,7.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Berry totals,8.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Fruit & tree nut totals,32008.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Grapes,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Non-citrus totals,6.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Orchards,6.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Peaches,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Pears,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Raspberries,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Strawberries,2.0,-94.6444,41.5137,6.7,0.12
Adair,KY,Apples,90.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Berry totals,48028.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Blackberries,4.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Blueberries,44.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Cherries,2.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Fruit & tree nut totals,32.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Grapes,44.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Non-citrus totals,86.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Orchards,94.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Peaches,79.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Pears,70.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Pecans,4.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Persimmons,13.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Plums,15.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Plums & prunes,15.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Raspberries,4.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Strawberries,5.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Tree nut totals,2.0,-85.2656,37.1161,10.13,7.33
Adair,MO,Apples,18.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Berry totals,27025.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Blackberries,14.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Blueberries,6.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Cherries,18.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Chestnuts,3.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Fruit & tree nut totals,163023.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Grapes,24.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Hazelnuts,3.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Non-citrus totals,43.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Orchards,69.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Peaches,41.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Pears,24.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Pecans,12.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Persimmons,5.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Plums,10.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Plums & prunes,10.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Raspberries,8.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Strawberries,4.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Tree nut totals,7.0,-92.5856,40.1908,13.99,10.88
Adair,MO,Walnuts,2.0,-92.5856,40.1908,13.99,10.88
Adair,OK,Almonds,2.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Berry totals,64.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Blackberries,4.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Blueberries,8.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Fruit & tree nut totals,120006.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Orchards,5.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Pecans,4.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Raspberries,4.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Strawberries,19.0,-94.7611,35.6826,18.11,16.38
Adair,OK,Tree nut totals,4.0,-94.7611,35.6826,18.11,16.38
Adams,CO,Apples,8.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Apricots,4.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Berry totals,3.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Cherries,6.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Fruit & tree nut totals,78010.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Grapes,25.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Non-citrus totals,32.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Orchards,89.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Peaches,8.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Strawberries,3.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,Tree nut totals,6.0,-104.7069,39.7656,3.11,-1.83
Adams,CO,"Tree nuts, other",6.0,-104.7069,39.7656,3.11,-1.83
Adams,IA,Aronia berries,2.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Berry totals,4.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Cherries,18.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Elderberries,2.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Fruit & tree nut totals,18.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Non-citrus totals,18.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Orchards,17.0,-94.8231,41.0487,8.35,2.25
Adams,IA,Strawberries,2.0,-94.8231,41.0487,8.35,2.25
Adams,ID,Apples,6.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Berry totals,12019.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Blueberries,8.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Cherries,6.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Fruit & tree nut totals,38012.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Grapes,2.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Non-citrus totals,18.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Orchards,25.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Pears,8.0,-116.4518,44.7628,1.87,-1.18
Adams,ID,Strawberries,6.0,-116.4518,44.7628,1.87,-1.18
Adams,IL,Apples,38.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Berry totals,16012.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Blackberries,2.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Fruit & tree nut totals,14.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Grapes,9.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Non-citrus totals,88.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Orchards,53.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Pears,8.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Plums,3.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Plums & prunes,3.0,-91.3763,39.9307,16.12,12.79
Adams,IL,Strawberries,8.0,-91.3763,39.9307,16.12,12.79
Adams,IN,Apples,10.0,-84.9343,40.6716,10.33,6.91
Adams,IN,Berry totals,6023.0,-84.9343,40.6716,10.33,6.91
Adams,IN,Blackberries,14.0,-84.9343,40.6716,10.33,6.91
Adams,IN,Cherries,2.0,-84.9343,40.6716,10.33,6.91
