County,State,Commodity,Value
Abbeville,SC,Beans,16.0
Abbeville,SC,Broccoli,12.0
Abbeville,SC,Cabbage,8.0
Abbeville,SC,Carrots,2.0
Abbeville,SC,Cauliflower,8.0
Abbeville,SC,Cucumbers,28.0
Abbeville,SC,Eggplant,2.0
Abbeville,SC,Greens,22.0
Abbeville,SC,Melons,78.0
Abbeville,SC,Okra,20.0
Abbeville,SC,Peas,2.0
Abbeville,SC,Peppers,20.0
Abbeville,SC,Potatoes,12.0
Abbeville,SC,Pumpkins,4.0
Abbeville,SC,Radishes,2.0
Abbeville,SC,Squash,51.0
Abbeville,SC,Sweet corn,58.0
Abbeville,SC,Sweet potatoes,12.0
Abbeville,SC,Tomatoes,42.0
Abbeville,SC,Turnips,3.0
Abbeville,SC,Vegetable totals,321274.0
Acadia,LA,Broccoli,2.0
Acadia,LA,Cabbage,16.0
Acadia,LA,Carrots,12.0
Acadia,LA,Cauliflower,2.0
Acadia,LA,Cucumbers,12.0
Acadia,LA,Daikon,10.0
Acadia,LA,Eggplant,2.0
Acadia,LA,Lettuce,34.0
Acadia,LA,Okra,2.0
Acadia,LA,Radishes,10.0
Acadia,LA,Sweet potatoes,5.0
Acadia,LA,Tomatoes,2.0
Acadia,LA,Vegetable totals,48.0
Acadia,LA,"Vegetables, other",14.0
Accomack,VA,Asparagus,2.0
Accomack,VA,Beans,511.0
Accomack,VA,Beets,4.0
Accomack,VA,Broccoli,16.0
Accomack,VA,Cabbage,4.0
Accomack,VA,Carrots,12.0
Accomack,VA,Cauliflower,8.0
Accomack,VA,Cucumbers,14.0
Accomack,VA,Eggplant,2.0
Accomack,VA,Greens,4.0
Accomack,VA,Herbs,10.0
Accomack,VA,Lettuce,4.0
Accomack,VA,Melons,4.0
Accomack,VA,Okra,8.0
Accomack,VA,Onions,8.0
Accomack,VA,Parsley,18.0
Accomack,VA,Peppers,22.0
Accomack,VA,Potatoes,1855.0
Accomack,VA,Pumpkins,2.0
Accomack,VA,Radishes,8.0
Accomack,VA,Spinach,8.0
Accomack,VA,Squash,30.0
Accomack,VA,Sweet corn,4.0
Accomack,VA,Sweet potatoes,4.0
Accomack,VA,Tomatoes,2.0
Accomack,VA,Vegetable totals,9143844.0
Accomack,VA,"Vegetables, other",4.0
Ada,ID,Artichokes,2.0
Ada,ID,Asparagus,2.0
Ada,ID,Beans,36.0
Ada,ID,Beets,14.0
Ada,ID,Broccoli,4.0
Ada,ID,Brussels sprouts,2.0
Ada,ID,Cabbage,4.0
Ada,ID,Carrots,24.0
Ada,ID,Cucumbers,18.0
Ada,ID,Eggplant,14.0
Ada,ID,Garlic,12.0
Ada,ID,Greens,10.0
Ada,ID,Herbs,24.0
Ada,ID,Lettuce,180.0
Ada,ID,Melons,90.0
Ada,ID,Okra,2.0
Ada,ID,Onions,40.0
Ada,ID,Peas,6.0
Ada,ID,Peppers,58.0
Ada,ID,Potatoes,198.0
Ada,ID,Pumpkins,177.0
Ada,ID,Radishes,16.0
Ada,ID,Rhubarb,4.0
Ada,ID,Spinach,18.0
Ada,ID,Squash,318.0
Ada,ID,Sweet corn,112.0
Ada,ID,Tomatoes,120.0
Ada,ID,Turnips,12.0
Ada,ID,Vegetable totals,4403380.0
Ada,ID,"Vegetables, other",52.0
Adair,IA,Asparagus,6.0
Adair,IA,Beans,2.0
Adair,IA,Beets,2.0
Adair,IA,Cabbage,4.0
Adair,IA,Carrots,2.0
Adair,IA,Cauliflower,2.0
Adair,IA,Celery,2.0
Adair,IA,Cucumbers,2.0
Adair,IA,Daikon,2.0
Adair,IA,Eggplant,2.0
Adair,IA,Garlic,2.0
Adair,IA,Greens,4.0
Adair,IA,Herbs,2.0
Adair,IA,Horseradish,2.0
Adair,IA,Lettuce,8.0
Adair,IA,Melons,4.0
Adair,IA,Onions,6.0
Adair,IA,Parsley,2.0
Adair,IA,Peas,4.0
Adair,IA,Peppers,6.0
Adair,IA,Potatoes,4.0
Adair,IA,Pumpkins,2.0
Adair,IA,Squash,8.0
Adair,IA,Sweet corn,4.0
Adair,IA,Sweet potatoes,2.0
Adair,IA,Tomatoes,2.0
Adair,IA,Vegetable totals,141029.0
Adair,IA,"Vegetables, other",2.0
Adair,KY,Asparagus,2.0
Adair,KY,Beans,12.0
Adair,KY,Beets,13.0
Adair,KY,Broccoli,6.0
Adair,KY,Cabbage,4.0
Adair,KY,Carrots,2.0
Adair,KY,Cauliflower,2.0
Adair,KY,Cucumbers,13.0
Adair,KY,Eggplant,8.0
Adair,KY,Garlic,8.0
Adair,KY,Greens,12.0
Adair,KY,Lettuce,30.0
Adair,KY,Melons,19.0
Adair,KY,Okra,6.0
Adair,KY,Onions,29.0
Adair,KY,Peas,20.0
Adair,KY,Peppers,31.0
Adair,KY,Potatoes,4.0
Adair,KY,Pumpkins,8.0
Adair,KY,Radishes,2.0
Adair,KY,Squash,12.0
Adair,KY,Sweet corn,18.0
Adair,KY,Sweet potatoes,4.0
Adair,KY,Tomatoes,42.0
Adair,KY,Turnips,2.0
Adair,KY,Vegetable totals,113242.0
Adair,KY,"Vegetables, other",2.0
Adair,MO,Asparagus,2.0
