County,State,Commodity,Value,Lon,Lat,Max_temp,Min_temp
Abbeville,SC,Beans,16.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Broccoli,12.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Cabbage,8.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Carrots,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Cauliflower,8.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Cucumbers,28.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Eggplant,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Greens,22.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Melons,78.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Okra,20.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Peas,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Peppers,20.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Potatoes,12.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Pumpkins,4.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Radishes,2.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Squash,51.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Sweet corn,58.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Sweet potatoes,12.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Tomatoes,42.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Turnips,3.0,-82.3785,34.1819,7.51,3.21
Abbeville,SC,Vegetable totals,321274.0,-82.3785,34.1819,7.51,3.21
Accomack,VA,Asparagus,2.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Beans,511.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Beets,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Broccoli,16.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Cabbage,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Carrots,12.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Cauliflower,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Cucumbers,14.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Eggplant,2.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Greens,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Herbs,10.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Lettuce,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Melons,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Okra,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Onions,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Parsley,18.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Peppers,22.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Potatoes,1855.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Pumpkins,2.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Radishes,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Spinach,8.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Squash,30.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Sweet corn,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Sweet potatoes,4.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Tomatoes,2.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,Vegetable totals,9143844.0,-75.6803,37.7159,3.93,0.0
Accomack,VA,"Vegetables, other",4.0,-75.6803,37.7159,3.93,0.0
Ada,ID,Artichokes,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Asparagus,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Beans,36.0,-116.362,43.7069,6.18,2.09
Ada,ID,Beets,14.0,-116.362,43.7069,6.18,2.09
Ada,ID,Broccoli,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Brussels sprouts,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Cabbage,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Carrots,24.0,-116.362,43.7069,6.18,2.09
Ada,ID,Cucumbers,18.0,-116.362,43.7069,6.18,2.09
Ada,ID,Eggplant,14.0,-116.362,43.7069,6.18,2.09
Ada,ID,Garlic,12.0,-116.362,43.7069,6.18,2.09
Ada,ID,Greens,10.0,-116.362,43.7069,6.18,2.09
Ada,ID,Herbs,24.0,-116.362,43.7069,6.18,2.09
Ada,ID,Lettuce,180.0,-116.362,43.7069,6.18,2.09
Ada,ID,Melons,90.0,-116.362,43.7069,6.18,2.09
Ada,ID,Okra,2.0,-116.362,43.7069,6.18,2.09
Ada,ID,Onions,40.0,-116.362,43.7069,6.18,2.09
Ada,ID,Peas,6.0,-116.362,43.7069,6.18,2.09
Ada,ID,Peppers,58.0,-116.362,43.7069,6.18,2.09
Ada,ID,Potatoes,198.0,-116.362,43.7069,6.18,2.09
Ada,ID,Pumpkins,177.0,-116.362,43.7069,6.18,2.09
Ada,ID,Radishes,16.0,-116.362,43.7069,6.18,2.09
Ada,ID,Rhubarb,4.0,-116.362,43.7069,6.18,2.09
Ada,ID,Spinach,18.0,-116.362,43.7069,6.18,2.09
Ada,ID,Squash,318.0,-116.362,43.7069,6.18,2.09
Ada,ID,Sweet corn,112.0,-116.362,43.7069,6.18,2.09
Ada,ID,Tomatoes,120.0,-116.362,43.7069,6.18,2.09
Ada,ID,Turnips,12.0,-116.362,43.7069,6.18,2.09
Ada,ID,Vegetable totals,4403380.0,-116.362,43.7069,6.18,2.09
Ada,ID,"Vegetables, other",52.0,-116.362,43.7069,6.18,2.09
Adair,IA,Asparagus,6.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Beans,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Beets,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Cabbage,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Carrots,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Cauliflower,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Celery,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Cucumbers,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Daikon,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Eggplant,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Garlic,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Greens,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Herbs,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Horseradish,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Lettuce,8.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Melons,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Onions,6.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Parsley,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Peas,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Peppers,6.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Potatoes,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Pumpkins,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Squash,8.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Sweet corn,4.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Sweet potatoes,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Tomatoes,2.0,-94.6444,41.5137,6.7,0.12
Adair,IA,Vegetable totals,141029.0,-94.6444,41.5137,6.7,0.12
Adair,IA,"Vegetables, other",2.0,-94.6444,41.5137,6.7,0.12
Adair,KY,Asparagus,2.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Beans,12.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Beets,13.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Broccoli,6.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Cabbage,4.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Carrots,2.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Cauliflower,2.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Cucumbers,13.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Eggplant,8.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Garlic,8.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Greens,12.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Lettuce,30.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Melons,19.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Okra,6.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Onions,29.0,-85.2656,37.1161,10.13,7.33
Adair,KY,Peas,20.0,-85.2656,37.1161,10.13,7.33
