County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
Aasco Municipio,PR,00610,Anasco,27.36,23.43,scattered clouds,26.05,1637750420,1637790643,-67.14,18.28
Abbeville,SC,29620,Abbeville,7.51,3.21,clear sky,4.28,1637755880,1637792499,-82.3785,34.1819
Acadia Parish,LA,70516,Branch,21.0,18.28,broken clouds,19.77,1637757787,1637795378,-92.3459,30.3446
Accomack,VA,23301,Accomac,3.93,0.0,clear sky,1.18,1637754763,1637790400,-75.6803,37.7159
Ada,ID,83616,Eagle,6.18,2.09,clear sky,4.21,1637765500,1637799194,-116.362,43.7069
Adair,IA,50002,Adair,6.7,0.12,overcast clouds,-1.83,1637759907,1637794360,-94.6444,41.5137
Adair,KY,42728,Columbia,10.13,7.33,overcast clouds,6.22,1637756978,1637792787,-85.2656,37.1161
Adair,MO,63501,Kirksville,13.99,10.88,overcast clouds,12.19,1637759199,1637794080,-92.5856,40.1908
Adair,OK,74931,Bunch,18.11,16.38,light rain,16.91,1637759057,1637795267,-94.7611,35.6826
Adams,CO,80019,Aurora,3.11,-1.83,light snow,-4.29,1637762044,1637797055,-104.7069,39.7656
Adams,IA,50839,Carbon,8.35,2.25,overcast clouds,1.99,1637759874,1637794480,-94.8231,41.0487
Adams,ID,83612,Council,1.87,-1.18,few clouds,-1.7,1637765715,1637799023,-116.4518,44.7628
Adams,IL,62301,Quincy,16.12,12.79,overcast clouds,13.95,1637758868,1637793831,-91.3763,39.9307
Adams,IN,46711,Berne,10.33,6.91,overcast clouds,5.23,1637757438,1637792168,-84.9343,40.6716
Adams,MS,39120,Natchez,16.3,14.21,clear sky,15.87,1637757699,1637794994,-91.3642,31.5492
Adams,ND,58639,Hettinger,-8.15,-8.69,scattered clouds,-14.4,1637762679,1637795497,-102.7851,46.0578
Adams,NE,68901,Hastings,2.75,1.84,overcast clouds,-4.81,1637760657,1637795410,-98.3911,40.5877
Adams,OH,45616,Blue Creek,10.56,3.72,overcast clouds,4.53,1637756758,1637792078,-83.3302,38.7776
Adams,PA,17301,Abbottstown,4.28,-1.42,clear sky,1.05,1637755407,1637790387,-76.9931,39.8881
Adams,WA,99105,Benge,5.63,4.09,broken clouds,3.83,1637766532,1637799026,-118.1611,46.8591
Adams,WI,53910,Adams,7.9,4.69,overcast clouds,4.67,1637759159,1637792793,-89.8219,43.8967
Addison,VT,05443,Bristol,-2.36,-6.55,clear sky,-4.36,1637755181,1637788730,-73.0717,44.146
Adjuntas Municipio,PR,00601,Adjuntas,23.94,20.01,broken clouds,22.12,1637750307,1637790554,-66.72,18.16
Aguada Municipio,PR,00602,Aguada,27.16,23.23,scattered clouds,26.18,1637750439,1637790643,-67.18,18.38
Aguadilla Municipio,PR,00603,Aguadilla,26.79,22.86,scattered clouds,26.76,1637750437,1637790631,-67.15,18.43
Aguas Buenas Municipio,PR,00703,"""Aguas Buenas""",25.52,22.34,broken clouds,24.76,1637750167,1637790397,-66.1,18.25
Aibonito Municipio,PR,00705,Aibonito,22.85,19.5,broken clouds,21.75,1637750194,1637790446,-66.26,18.14
Aiken,SC,29105,Monetta,6.8,3.0,clear sky,3.44,1637755642,1637792361,-81.5956,33.8084
Aitkin,MN,55748,Hill City,-2.25,-7.06,overcast clouds,-12.13,1637760660,1637793106,-93.5994,46.9968
Alachua,FL,32601,Gainesville,15.42,12.56,clear sky,13.12,1637755296,1637793057,-82.325,29.6489
Alamance,NC,27201,Alamance,5.73,0.14,clear sky,3.07,1637755436,1637791554,-79.4856,36.0318
Alameda,CA,94501,Alameda,19.4,14.42,broken clouds,15.73,1637765959,1637801569,-122.2648,37.7706
Alamosa,CO,81101,Alamosa,3.99,1.73,overcast clouds,-0.86,1637761980,1637797681,-105.8786,37.4703
Albany,NY,12007,Alcove,1.22,-3.81,broken clouds,-2.2,1637755089,1637789232,-73.9277,42.4561
Albany,WY,82051,Bosler,-3.81,-4.49,broken clouds,-10.93,1637762551,1637796982,-105.6112,41.5735
Albemarle,VA,22901,Charlottesville,5.72,-0.1,broken clouds,2.04,1637755510,1637791036,-78.5611,38.0936
Alcona,MI,48705,Barton City,8.03,6.22,overcast clouds,3.51,1637757812,1637791153,-83.5994,44.702
Alcorn,MS,38834,Corinth,13.83,9.42,clear sky,9.76,1637757465,1637793897,-88.5916,34.8759
Aleutians East Borough,AK,99553,Akutan,-2.56,-2.56,overcast clouds,-9.56,1637779744,1637808678,-165.7854,54.143
Aleutians West Census Area,AK,99546,Adak,0.93,0.93,light snow,-0.76,1637781733,1637811909,-176.6581,51.88
Alexander,IL,62914,Cairo,15.01,13.19,overcast clouds,12.56,1637757904,1637793741,-89.1811,37.0123
Alexander,NC,28636,Hiddenite,6.14,0.97,scattered clouds,1.61,1637755800,1637791940,-81.0487,35.9504
Alexandria city,VA,22301,Alexandria,6.13,0.27,scattered clouds,1.03,1637755258,1637790567,-77.0589,38.82
Alfalfa,OK,73716,Aline,14.73,13.25,overcast clouds,11.84,1637760059,1637796039,-98.4574,36.5056
Alger,MI,49806,Au Train,5.12,0.57,overcast clouds,0.69,1637758942,1637791613,-86.9115,46.4446
Allamakee,IA,52140,Dorchester,9.84,7.31,overcast clouds,5.2,1637759483,1637793279,-91.5076,43.4421
Allegan,MI,49010,Allegan,11.01,7.25,overcast clouds,8.31,1637757969,1637792084,-85.8661,42.5256
Allegany,MD,21502,Cumberland,5.89,0.01,clear sky,2.6,1637755806,1637790876,-78.8444,39.5992
Allegany,NY,14707,Allentown,3.02,-2.65,clear sky,-2.84,1637756017,1637790288,-78.0594,42.0737
