"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","1,750","6.8"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","1,887","7.3"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED","137","49.6"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","22","75.1"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","30","80.3"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APPLES","APPLES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","16","(H)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","2","2.5"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","42.8"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APRICOTS","APRICOTS - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","3","3.4"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","APRICOTS","APRICOTS - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS - ACRES GROWN","TOTAL","NOT SPECIFIED","34","74.5"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","16","71.6"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","16","79.7"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","99,000","49.8"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS, IRRIGATED - ACRES GROWN","TOTAL","NOT SPECIFIED","29","46.0"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BERRY TOTALS","BERRY TOTALS, IRRIGATED - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","9","81.2"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN","TOTAL","NOT SPECIFIED","7","61.5"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","10","80.5"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","10","79.4"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","WEST VIRGINIA","54","EASTERN","60","BERKELEY","003","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","8","38.1"
